Allgemeiner Lesesaal (Zentralbibliothek);34;66;2016-12-17 16:52:28.765000
FB Biologie und Biomedizin (Präsenzbestand);6;94;2016-12-17 16:52:28.765000
FB Chemie und Pharmazie;15;85;2016-12-17 16:52:28.765000
FB Englischer Garten;10;90;2016-12-17 16:52:28.765000
FB Geowissenschaften;13;87;2016-12-17 16:52:28.765000
FB Germanistik und Komparatistik;21;79;2016-12-17 16:52:28.765000
FB Historicum;29;71;2016-12-17 16:52:28.765000
FB Kunstwissenschaften;32;68;2016-12-17 16:52:28.765000
FB Medizinische Lesehalle;65;35;2016-12-17 16:52:28.765000
FB Psychologie, Pädagogik und Soziologie;28;72;2016-12-17 16:52:28.765000
FB Theologie und Philosophie;43;57;2016-12-17 16:52:28.765000
FB Wirtschaftswissenschaften und Statistik;4;96;2016-12-17 16:52:28.765000
Allgemeiner Lesesaal (Zentralbibliothek);34;66;2016-12-17 17:05:32.369000
FB Biologie und Biomedizin (Präsenzbestand);6;94;2016-12-17 17:05:32.369000
FB Chemie und Pharmazie;15;85;2016-12-17 17:05:32.369000
FB Englischer Garten;10;90;2016-12-17 17:05:32.369000
FB Geowissenschaften;13;87;2016-12-17 17:05:32.369000
FB Germanistik und Komparatistik;21;79;2016-12-17 17:05:32.369000
FB Historicum;29;71;2016-12-17 17:05:32.369000
FB Kunstwissenschaften;32;68;2016-12-17 17:05:32.369000
FB Medizinische Lesehalle;42;58;2016-12-17 17:05:32.369000
FB Psychologie, Pädagogik und Soziologie;28;72;2016-12-17 17:05:32.369000
FB Theologie und Philosophie;43;57;2016-12-17 17:05:32.369000
FB Wirtschaftswissenschaften und Statistik;4;96;2016-12-17 17:05:32.369000
Allgemeiner Lesesaal (Zentralbibliothek);34;66;2016-12-17 17:08:49.040000
FB Biologie und Biomedizin (Präsenzbestand);6;94;2016-12-17 17:08:49.040000
FB Biologie und Biomedizin (Lehrbuchsammlung);Geschlossen;0;2016-12-17 17:08:49.040000
FB Chemie und Pharmazie;15;85;2016-12-17 17:08:49.040000
FB Englischer Garten;10;90;2016-12-17 17:08:49.040000
FB Geowissenschaften;13;87;2016-12-17 17:08:49.040000
FB Germanistik und Komparatistik;21;79;2016-12-17 17:08:49.040000
FB Historicum;29;71;2016-12-17 17:08:49.040000
FB Kunstwissenschaften;32;68;2016-12-17 17:08:49.040000
FB Medizinische Lesehalle;42;58;2016-12-17 17:08:49.040000
FB Psychologie, Pädagogik und Soziologie;28;72;2016-12-17 17:08:49.040000
FB Theologie und Philosophie;43;57;2016-12-17 17:08:49.040000
FB Wirtschaftswissenschaften und Statistik;4;96;2016-12-17 17:08:49.040000
Allgemeiner Lesesaal (Zentralbibliothek);33;67;2016-12-18 13:11:39.109036
FB Biologie und Biomedizin (Präsenzbestand);Geschlossen;0;2016-12-18 13:11:39.109140
FB Biologie und Biomedizin (Lehrbuchsammlung);Geschlossen;0;2016-12-18 13:11:39.109177
FB Chemie und Pharmazie;Geschlossen;0;2016-12-18 13:11:39.109206
FB Englischer Garten;10;90;2016-12-18 13:11:39.109231
FB Geowissenschaften;13;87;2016-12-18 13:11:39.109255
FB Germanistik und Komparatistik;Geschlossen;0;2016-12-18 13:11:39.109278
FB Historicum;21;79;2016-12-18 13:11:39.109304
FB Kunstwissenschaften;Geschlossen;0;2016-12-18 13:11:39.109326
FB Medizinische Lesehalle;57;43;2016-12-18 13:11:39.109351
FB Psychologie, Pädagogik und Soziologie;Geschlossen;0;2016-12-18 13:11:39.109374
FB Theologie und Philosophie;36;64;2016-12-18 13:11:39.109401
FB Wirtschaftswissenschaften und Statistik;5;95;2016-12-18 13:11:39.109425
Allgemeiner Lesesaal (Zentralbibliothek);33;67;2016-12-18 13:12:17.529750
FB Biologie und Biomedizin (Präsenzbestand);Geschlossen;0;2016-12-18 13:12:17.529809
FB Biologie und Biomedizin (Lehrbuchsammlung);Geschlossen;0;2016-12-18 13:12:17.529822
FB Chemie und Pharmazie;Geschlossen;0;2016-12-18 13:12:17.529831
FB Englischer Garten;10;90;2016-12-18 13:12:17.529839
FB Geowissenschaften;13;87;2016-12-18 13:12:17.529847
FB Germanistik und Komparatistik;Geschlossen;0;2016-12-18 13:12:17.529855
FB Historicum;21;79;2016-12-18 13:12:17.529863
FB Kunstwissenschaften;Geschlossen;0;2016-12-18 13:12:17.529870
FB Medizinische Lesehalle;57;43;2016-12-18 13:12:17.529878
FB Psychologie, Pädagogik und Soziologie;Geschlossen;0;2016-12-18 13:12:17.529885
FB Theologie und Philosophie;36;64;2016-12-18 13:12:17.529894
FB Wirtschaftswissenschaften und Statistik;5;95;2016-12-18 13:12:17.529981
Allgemeiner Lesesaal (Zentralbibliothek);33;67;2016-12-18 13:15:21.790420
FB Biologie und Biomedizin (Präsenzbestand);Geschlossen;0;2016-12-18 13:15:21.790524
FB Biologie und Biomedizin (Lehrbuchsammlung);Geschlossen;0;2016-12-18 13:15:21.790560
FB Chemie und Pharmazie;Geschlossen;0;2016-12-18 13:15:21.790589
FB Englischer Garten;10;90;2016-12-18 13:15:21.790614
